genes,name,ExonLength,chr,chr_start,chr_end,WT_1_log2(cpm),WT_2_log2(cpm),DKO_1_log2(cpm),DKO_2_log2(cpm),logFC_1*WT -1*DKO,logCPM_1*WT -1*DKO,LR_1*WT -1*DKO,PValue_1*WT -1*DKO,FDR_1*WT -1*DKO
Grina,"glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)",1693,15,76246806,76249904,6.549,6.512,6.092,6.422,0.264,6.405,2.566,0.109153133,0.409546278
Galnt12,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12,2288,4,47091908,47123070,4.992,4.855,4.679,4.652,0.26,4.803,2.564,0.109321732,0.410020005
Gimap5,"GTPase, IMAP family member 5",2353,6,48746196,48754210,5.716,5.597,5.815,6.004,-0.255,5.792,2.56,0.10957316,0.410486068
Ier2,immediate early response 2,1522,8,84661330,84662852,5.385,5.364,5.115,5.148,0.243,5.26,2.561,0.109517214,0.410486068
Mbnl2,muscleblind-like 2,4552,14,120275668,120431697,5.284,5.745,5.775,5.934,-0.324,5.705,2.561,0.109540319,0.410486068
Tlr9,toll-like receptor 9,3478,9,106222597,106226883,8.474,8.3,8.724,8.567,-0.258,8.525,2.56,0.109623316,0.410515155
Cdca7l,cell division cycle associated 7 like,3258,12,117804288,117878706,4.451,4.214,4.79,4.498,-0.314,4.505,2.558,0.109743378,0.410805904
Arl1,ADP-ribosylation factor-like 1,2369,10,88730857,88744094,6.815,6.726,6.514,6.578,0.225,6.664,2.556,0.109871724,0.411127424
Sf3a1,"splicing factor 3a, subunit 1",6147,11,4160349,4182541,7.071,7.038,7.404,7.193,-0.247,7.184,2.553,0.11007704,0.411736599
Sept2,septin 2,5022,1,93478963,93510260,7.072,7.221,6.942,6.875,0.239,7.034,2.552,0.110123026,0.411749568
Llgl1,lethal giant larvae homolog 1 (Drosophila),4862,11,60699722,60714186,5.443,5.216,5.71,5.502,-0.276,5.48,2.552,0.110169997,0.411766211
Kcnq5,"potassium voltage-gated channel, subfamily Q, member 5",7689,1,21398402,21961942,3.676,3.752,3.887,4.162,-0.317,3.885,2.551,0.110241517,0.411779183
Pogk,pogo transposable element with KRAB domain,8204,1,166384621,166409863,4.804,4.676,4.473,4.477,0.266,4.616,2.551,0.110258511,0.411779183
Ifrd2,interferon-related developmental regulator 2,1980,9,107587717,107593038,4.528,4.413,4.334,3.913,0.334,4.317,2.549,0.110358906,0.411995238
Plekhm1,"pleckstrin homology domain containing, family M (with RUN domain) member 1",5968,11,103364274,103412687,6.692,6.715,7.217,6.764,-0.304,6.864,2.547,0.110479625,0.412286972
Arhgap24,Rho GTPase activating protein 24,8791,5,102481390,102897936,5.67,5.377,5.642,6.048,-0.329,5.705,2.545,0.110653647,0.412550052
Bcl2,B cell leukemia/lymphoma 2,9157,1,106538177,106714274,6,5.975,6.017,6.666,-0.39,6.196,2.546,0.110600674,0.412550052
Ctdsp1,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1",3334,1,74391508,74397285,7.589,7.516,7.193,7.405,0.25,7.434,2.545,0.110677926,0.412550052
Bmp2k,BMP2 inducible kinase,8480,5,96997688,97091867,5.803,5.936,6.11,6.102,-0.235,5.994,2.541,0.110905197,0.412603121
Cox5a,cytochrome c oxidase subunit Va,690,9,57521231,57532424,6.993,7.053,6.893,6.635,0.254,6.903,2.543,0.11078971,0.412603121
Nup37,nucleoporin 37,1362,10,88146991,88178388,4.086,4.035,3.811,3.729,0.291,3.926,2.541,0.110897862,0.412603121
Slc25a14,"solute carrier family 25 (mitochondrial carrier, brain), member 14",2364,X,48623412,48662294,2.453,2.672,2.835,2.981,-0.345,2.756,2.543,0.110783422,0.412603121
Zfp280b,zinc finger protein 280B,5097,10,76032653,76043234,4.462,5.129,5.493,5.073,-0.465,5.086,2.542,0.110856189,0.412603121
Nom1,nucleolar protein with MIF4G domain 1,4895,5,29434663,29453506,5.223,5.193,5.555,5.365,-0.255,5.342,2.541,0.110948884,0.412607139
Armc10,armadillo repeat containing 10,3407,5,21645812,21662694,6.309,6.306,6.529,6.522,-0.218,6.421,2.537,0.111210201,0.413276423
Zfp943,zinc finger prtoein 943,5277,17,21962551,22071168,4.701,4.77,3.94,4.625,0.413,4.546,2.537,0.111214205,0.413276423
Arfgef1,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited),10697,1,10137570,10232670,6.975,7.043,7.188,7.299,-0.235,7.132,2.531,0.111625323,0.414645043
Apobec1,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1",2391,6,122577791,122602444,5.442,5.322,4.915,5.254,0.289,5.247,2.528,0.111843034,0.415155815
Ormdl2,ORM1-like 2 (S. cerevisiae),2055,10,128817456,128821631,4.64,4.716,4.475,4.339,0.271,4.552,2.528,0.111848567,0.415155815
Brms1l,breast cancer metastasis-suppressor 1-like,2566,12,55836365,55869735,3.676,4.198,4.477,4.196,-0.383,4.167,2.526,0.111967062,0.415413311
Dpm3,dolichyl-phosphate mannosyltransferase polypeptide 3,827,3,89259357,89267079,5.133,4.837,4.585,4.799,0.297,4.854,2.526,0.112003733,0.415413311
Alg3,"asparagine-linked glycosylation 3 (alpha-1,3-mannosyltransferase)",1451,16,20605450,20610768,4.032,4.118,3.894,3.621,0.313,3.931,2.525,0.112065223,0.415482242
Pbxip1,pre B cell leukemia transcription factor interacting protein 1,4674,3,89436705,89450952,7.19,7.076,7.28,7.479,-0.249,7.264,2.524,0.112159601,0.41567301
Pip5k1a,"phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha",4383,3,95058529,95106930,5.111,5.331,5.438,5.535,-0.262,5.363,2.521,0.112304033,0.416049066
Prkcz,"protein kinase C, zeta",6318,4,155260128,155361361,3.259,2.894,3.287,3.621,-0.377,3.293,2.52,0.112411786,0.416289
Fam76b,"family with sequence similarity 76, member B",4325,9,13827715,13846541,5.497,5.857,5.928,6.013,-0.283,5.838,2.519,0.112460944,0.416311842
Odc1,"ornithine decarboxylase, structural 1",2547,12,17544872,17551502,7.392,7.271,7.124,7.072,0.234,7.22,2.513,0.112930814,0.41789148
Slc9a3r1,"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1",1925,11,115163340,115181181,7.019,7.017,6.796,6.791,0.224,6.91,2.51,0.113132357,0.418431264
Stap1,signal transducing adaptor family member 1,4083,5,86071745,86103993,5.857,5.88,6.122,6.069,-0.227,5.988,2.509,0.113163102,0.418431264
Sec16a,"SEC16 homolog A, endoplasmic reticulum export factor",9189,2,26409430,26445216,6.427,6.547,6.69,6.733,-0.223,6.605,2.505,0.113464963,0.419298945
Sh3rf1,SH3 domain containing ring finger 1,5181,8,61224170,61396072,2.791,2.901,2.302,2.652,0.361,2.687,2.505,0.113484359,0.419298945
Whsc1l1,Wolf-Hirschhorn syndrome candidate 1-like 1 (human),16513,8,25601600,25719667,6.661,6.709,6.895,6.92,-0.222,6.801,2.504,0.113534459,0.419324066
Abca2,"ATP-binding cassette, sub-family A (ABC1), member 2",8346,2,25428702,25448540,5.943,5.736,6.136,6.043,-0.247,5.973,2.502,0.113695466,0.419758634
Cryl1,"crystallin, lambda 1",1410,14,57275033,57398483,4.236,4.323,4.025,3.975,0.281,4.15,2.5,0.113867166,0.420072243
Vapa,"vesicle-associated membrane protein, associated protein A",1640,17,65580055,65613555,6.8,6.77,6.526,6.601,0.221,6.679,2.5,0.113827592,0.420072243
Hck,hemopoietic cell kinase,2092,2,153108467,153151441,8.324,8.046,7.708,8.05,0.302,8.048,2.498,0.113998518,0.420285049
Parp1,"poly (ADP-ribose) polymerase family, member 1",3846,1,180568954,180601253,7.996,7.907,8.298,8.1,-0.25,8.083,2.498,0.114011651,0.420285049
Ass1,argininosuccinate synthetase 1,2307,2,31470206,31520672,5.799,5.938,6.001,6.241,-0.256,6.004,2.497,0.114056001,0.420288551
Cenpa,centromere protein A,2503,5,30666776,30674827,5.647,5.539,5.484,5.071,0.302,5.452,2.496,0.114171541,0.42033105
Igkv4-58,,292,6,69500253,69500545,3.476,3.311,3.287,5.495,-1.384,4.25,2.495,0.114197748,0.42033105
Myo1f,myosin IF,4914,17,33555718,33607764,6.999,6.991,6.868,6.615,0.248,6.877,2.496,0.114113476,0.42033105
Cdkn3,cyclin-dependent kinase inhibitor 3,773,14,46760540,46771525,3.265,3.311,3.164,2.441,0.443,3.089,2.494,0.114302942,0.420533116
Itfg1,integrin alpha FG-GAP repeat containing 1,3355,8,85717556,85840949,6.592,6.652,6.376,6.432,0.218,6.518,2.493,0.114339498,0.420533116
Tacc1,"transforming, acidic coiled-coil containing protein 1",7695,8,25154551,25201449,7.071,7.124,7.306,7.345,-0.228,7.217,2.489,0.114638077,0.4214712
Stt3b,"STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)",4195,9,115242606,115310421,8.46,8.514,8.684,8.763,-0.236,8.611,2.485,0.114970693,0.422533658
Acap1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",4878,11,69881566,69895539,6.83,6.475,6.977,6.891,-0.271,6.806,2.479,0.115358091,0.422896131
Gatc,"glutamyl-tRNA(Gln) amidotransferase, subunit C",1794,5,115333241,115341178,4.249,4.365,4.087,3.957,0.286,4.176,2.481,0.115211943,0.422896131
Iah1,isoamyl acetate-hydrolyzing esterase 1 homolog,924,12,21316391,21323605,5.521,5.446,5.918,5.587,-0.278,5.631,2.479,0.115406106,0.422896131
Mettl9,methyltransferase like 9,1822,7,121034444,121076834,5.082,5.054,4.809,4.839,0.244,4.953,2.478,0.115437519,0.422896131
Mzt1,mitotic spindle organizing protein 1,2256,14,99034543,99046136,5.367,5.315,5.66,5.511,-0.246,5.47,2.48,0.115271588,0.422896131
Rps19bp1,ribosomal protein S19 binding protein 1,830,15,80260613,80264306,4.026,3.842,3.7,3.558,0.307,3.795,2.48,0.11529712,0.422896131
Snx10,sorting nexin 10,4912,6,51523900,51590679,5.959,6.062,5.772,5.787,0.232,5.901,2.48,0.115281444,0.422896131
Snx6,sorting nexin 6,1928,12,54746348,54795703,6.607,6.568,6.381,6.362,0.216,6.484,2.478,0.115462347,0.422896131
Txnl1,thioredoxin-like 1,2558,18,63662800,63692359,6.515,6.666,6.444,6.256,0.24,6.478,2.481,0.115233118,0.422896131
Arid3b,AT rich interactive domain 3B (BRIGHT-like),7976,9,57790352,57836793,2.992,3.142,3.521,3.269,-0.332,3.249,2.477,0.115536916,0.423009261
Xrcc2,X-ray repair complementing defective repair in Chinese hamster cells 2,5216,5,25689811,25705825,3.494,3.668,3.266,3.284,0.31,3.442,2.476,0.115628631,0.423185057
Prdx3,peroxiredoxin 3,1478,19,60864050,60874556,7.325,7.268,7.125,6.999,0.233,7.185,2.475,0.115679322,0.423210636
Arl10,ADP-ribosylation factor-like 10,1729,13,54575014,54581128,2.359,2.326,1.742,2.151,0.383,2.176,2.474,0.115770921,0.4233858
Cd52,CD52 antigen,1187,4,134082447,134095082,10.852,10.689,10.986,11.053,-0.247,10.902,2.468,0.116221345,0.424533821
Cers2,ceramide synthase 2,3676,3,95314790,95323599,7.208,7.237,6.982,7.012,0.226,7.115,2.467,0.116249087,0.424533821
Fbxo7,F-box protein 7,6180,10,86021971,86051873,4.937,4.738,4.579,4.57,0.266,4.715,2.469,0.116148175,0.424533821
Rpl28,ribosomal protein L28,1138,7,4792873,4794562,4.511,4.484,4.718,4.79,-0.257,4.634,2.467,0.116260191,0.424533821
Ceacam1,carcinoembryonic antigen-related cell adhesion molecule 1,3736,7,25461701,25477625,5.795,5.84,5.584,5.584,0.234,5.707,2.466,0.116362509,0.424747282
Ift20,intraflagellar transport 20,1525,11,78536360,78541737,5.08,5.032,4.895,4.693,0.259,4.934,2.46,0.116754721,0.426018356
Gramd3,GRAM domain containing 3,2605,18,56432131,56503792,6.482,6.537,6.714,6.737,-0.216,6.622,2.456,0.11711329,0.42696434
Setd8,SET domain containing (lysine methyltransferase) 8,4034,5,124439929,124462308,5.076,5.273,4.986,4.839,0.264,5.054,2.455,0.117146246,0.42696434
Usp11,ubiquitin specific peptidase 11,4732,X,20703905,20720539,5.872,5.808,6.023,6.115,-0.23,5.96,2.456,0.117059656,0.42696434
Cyp4v3,"cytochrome P450, family 4, subfamily v, polypeptide 3",6246,8,45269670,45333216,5.731,5.712,5.211,5.617,0.293,5.583,2.454,0.117259611,0.427216731
Appl1,"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1",8719,14,26918987,26971232,6.111,5.935,6.278,6.235,-0.232,6.146,2.452,0.117411585,0.427448791
Rpusd3,RNA pseudouridylate synthase domain containing 3,2161,6,113415318,113419348,2.533,2.206,2.757,2.704,-0.354,2.573,2.452,0.117394371,0.427448791
Zkscan8,zinc finger with KRAB and SCAN domains 8,8901,13,21513221,21531120,4.056,4.37,4.556,4.486,-0.299,4.382,2.45,0.117535845,0.427740369
Slc39a7,"solute carrier family 39 (zinc transporter), member 7",2594,17,34028266,34031690,3.238,3.142,2.903,2.856,0.313,3.05,2.448,0.117690964,0.428143988
Grap,GRB2-related adaptor protein,1793,11,61653264,61672784,7.856,7.656,7.988,8.018,-0.244,7.887,2.445,0.117912888,0.428790238
Gps1,G protein pathway suppressor 1,2879,11,120784271,120789102,5.229,5.115,4.902,4.952,0.246,5.057,2.441,0.118177565,0.429432101
Stk11ip,serine/threonine kinase 11 interacting protein,5743,1,75521528,75537335,6.111,5.862,6.333,6.156,-0.255,6.125,2.441,0.118178082,0.429432101
Rps27a,ribosomal protein S27A,1972,11,29545845,29548109,3.938,4.159,3.873,3.562,0.328,3.902,2.44,0.118285271,0.429660375
Zkscan3,zinc finger with KRAB and SCAN domains 3,7817,13,21387012,21402755,4.753,4.462,4.42,4.185,0.308,4.471,2.439,0.118364059,0.429785357
Nol6,nucleolar protein family 6 (RNA-associated),5242,4,41114426,41124455,6.491,6.43,6.776,6.596,-0.228,6.58,2.438,0.118453585,0.429848523
Nt5c3b,"5'-nucleotidase, cytosolic IIIB",3420,11,100422320,100441808,5.147,4.894,5.494,5.144,-0.303,5.187,2.437,0.11847023,0.429848523
Arsb,arylsulfatase B,3989,13,93771678,93943016,3.841,3.661,4.2,3.926,-0.316,3.923,2.435,0.118621286,0.430235406
Rlf,rearranged L-myc fusion sequence,6990,4,121145372,121215084,4.928,5.261,5.328,5.439,-0.281,5.253,2.432,0.11886808,0.430969108
Hsd17b11,hydroxysteroid (17-beta) dehydrogenase 11,3265,5,103989761,104021919,6.782,6.787,6.274,6.698,0.283,6.65,2.431,0.118985866,0.431234703
Fitm2,fat storage-inducing transmembrane protein 2,3967,2,163466378,163472629,2.973,3.227,2.61,2.888,0.351,2.948,2.428,0.119206313,0.431850318
Hspd1,heat shock protein 1 (chaperonin),2642,1,55077834,55088243,7.51,7.713,7.476,7.21,0.267,7.488,2.427,0.119244914,0.431850318
Snf8,"SNF8, ESCRT-II complex subunit, homolog (S. cerevisiae)",2677,11,96034884,96047430,6.429,6.378,6.628,6.606,-0.214,6.515,2.427,0.119296415,0.43187532
Dyrk2,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2,2137,10,118859348,118868903,4.05,4.252,3.593,4.005,0.341,3.998,2.424,0.119511085,0.432490787
Nipsnap1,nipsnap homolog 1 (C. elegans),2649,11,4873950,4894200,4.157,3.745,4.294,4.286,-0.325,4.14,2.423,0.119574366,0.432558147
Calm2,calmodulin 2,1467,17,87433411,87446935,8.304,8.33,8.101,8.075,0.229,8.207,2.419,0.119836752,0.433345446
Heatr6,HEAT repeat containing 6,6419,11,83753695,83783754,4.815,4.724,4.399,4.596,0.269,4.644,2.419,0.119893416,0.433388517
Ebf1,early B cell factor 1,9756,11,44617316,45008091,6.792,6.834,7.04,7.029,-0.221,6.928,2.415,0.120147888,0.434090765
Ggps1,geranylgeranyl diphosphate synthase 1,2367,13,14052448,14063401,4.855,5.054,5.156,5.274,-0.258,5.094,2.415,0.120177338,0.434090765
Pigw,"phosphatidylinositol glycan anchor biosynthesis, class W",2733,11,84876314,84880285,3.029,3.257,2.87,2.775,0.326,3.001,2.406,0.12085517,0.436376387
Agpat3,1-acylglycerol-3-phosphate O-acyltransferase 3,7577,10,78269177,78352489,7.415,7.358,7.199,7.12,0.226,7.278,2.403,0.12111784,0.436931261
Gltscr2,glioma tumor suppressor candidate region gene 2,1555,7,15937837,15946108,9.168,8.954,9.205,9.452,-0.269,9.206,2.403,0.121092356,0.436931261
Sdhd,"succinate dehydrogenase complex, subunit D, integral membrane protein",1287,9,50596337,50603849,7.177,7.167,7.012,6.869,0.23,7.062,2.402,0.1211442,0.436931261
Jmy,junction-mediating and regulatory protein,8780,13,93430096,93499808,3.844,4.027,3.261,3.809,0.378,3.766,2.401,0.121280585,0.437260306
Sumf2,sulfatase modifying factor 2,2667,5,129846989,129864050,4.241,4.227,3.943,3.978,0.274,4.107,2.398,0.12148448,0.437832417
Trim12a,tripartite motif-containing 12A,5781,7,104299893,104315466,4.844,4.725,4.914,5.192,-0.274,4.931,2.397,0.121565436,0.437961192
Psmd9,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 9",4562,5,123228189,123250131,4.624,4.559,4.957,4.748,-0.265,4.732,2.396,0.121649524,0.438101148
Ighv5-17,immunoglobulin heavy variable 5-17,351,12,113859148,113859616,6.005,6.752,6.333,8.724,-1.55,7.4,2.389,0.122162316,0.439784337
Bhlhb9,"basic helix-loop-helix domain containing, class B9",2978,X,135885850,135891081,3.951,4.059,4.279,4.281,-0.275,4.152,2.388,0.122281818,0.43988749
Cnr2,cannabinoid receptor 2 (macrophage),3982,4,135895393,135920207,8.084,8.199,8.304,8.462,-0.242,8.269,2.388,0.122280559,0.43988749
Cd2bp2,CD2 antigen (cytoplasmic tail) binding protein 2,3379,7,127191659,127196000,7.048,6.986,7.233,7.248,-0.223,7.133,2.386,0.122432224,0.440265006
Tmem33,transmembrane protein 33,7098,5,67260564,67291461,6.133,6.292,5.945,6.025,0.23,6.105,2.384,0.12255329,0.440536771
Lysmd4,"LysM, putative peptidoglycan-binding, domain containing 4",3383,7,67222543,67228468,3.059,2.914,3.256,3.336,-0.31,3.156,2.382,0.12271691,0.440961247
Tmem68,transmembrane protein 68,3462,4,3549040,3574853,5.178,5.39,4.938,5.108,0.263,5.164,2.377,0.123111158,0.442213817
Rmnd1,required for meiotic nuclear division 1 homolog,5894,10,4401914,4432388,3.919,4.006,3.581,3.754,0.293,3.827,2.374,0.123335683,0.442691901
Trim59,tripartite motif-containing 59,3352,3,69035287,69044755,6.365,6.373,6.613,6.549,-0.212,6.48,2.375,0.123291943,0.442691901
Kdm2b,lysine (K)-specific demethylase 2B,11818,5,122870667,123015080,5.94,5.93,6.18,6.127,-0.219,6.049,2.372,0.123535806,0.443222073
Tet2,tet methylcytosine dioxygenase 2,9179,3,133463678,133544390,2.718,2.731,3.049,3.017,-0.31,2.893,2.371,0.123574928,0.443222073
Aebp2,AE binding protein 2,8111,6,140622448,140678472,6.395,6.506,6.72,6.619,-0.219,6.566,2.369,0.123763539,0.44356999
Rnf135,ring finger protein 135,2140,11,80183850,80199757,3.848,4.041,3.568,3.722,0.301,3.809,2.369,0.123729308,0.44356999
E2f5,E2F transcription factor 5,1751,3,14578670,14606308,2.784,2.982,3.102,3.317,-0.328,3.066,2.367,0.123897374,0.443885375
Trip12,thyroid hormone receptor interactor 12,14800,1,84721188,84840516,8.1,8.254,8.461,8.373,-0.239,8.303,2.364,0.124188682,0.444764497
Alg6,"asparagine-linked glycosylation 6 (alpha-1,3,-glucosyltransferase)",8544,4,99715663,99763460,3.444,3.705,3.322,3.203,0.318,3.436,2.361,0.124390431,0.445111983
Rnaset2a,ribonuclease T2A,1259,17,8128609,8148097,3.077,2.716,3.186,3.308,-0.342,3.094,2.361,0.124394051,0.445111983
Syvn1,"synovial apoptosis inhibitor 1, synoviolin",4772,19,6046575,6053712,7.922,7.809,8.096,8.096,-0.23,7.986,2.361,0.1244236,0.445111983
Alcam,activated leukocyte cell adhesion molecule,7121,16,52248995,52454074,5.068,5.141,5.301,5.384,-0.238,5.23,2.359,0.124527586,0.445262759
Gimap8,"GTPase, IMAP family member 8",3654,6,48647233,48660875,7.022,7.446,7.44,7.656,-0.303,7.409,2.359,0.124557705,0.445262759
3830406C13Rik,RIKEN cDNA 3830406C13 gene,2477,14,12284208,12303231,5.029,5.05,5.261,5.286,-0.234,5.163,2.353,0.125065636,0.446913512
Zfp408,zinc finger protein 408,4008,2,91643668,91649791,3.123,2.745,3.312,3.259,-0.341,3.131,2.35,0.125301122,0.447589845
S100pbp,S100P binding protein,9448,4,129148004,129189727,5.17,5.282,5.466,5.459,-0.236,5.351,2.346,0.125572326,0.448393217
Haus8,"4HAUS augmin-like complex, subunit 8",5278,8,71248560,71272934,5.653,5.383,5.292,5.239,0.259,5.402,2.341,0.126021858,0.449832535
Limk2,LIM motif-containing protein kinase 2,6099,11,3344255,3409189,5.159,5.027,5.364,5.304,-0.24,5.22,2.339,0.126188886,0.450262775
Whrn,whirlin,7337,4,63414909,63495991,2.471,2.391,1.771,2.274,0.388,2.262,2.335,0.126459274,0.451061367
Rab12,"RAB12, member RAS oncogene family",3021,17,66494511,66519717,4.005,4.012,3.593,3.826,0.294,3.872,2.333,0.12669313,0.451729112
Cic,capicua transcriptional repressor,10294,7,25267703,25294159,6.984,6.72,7.193,7.028,-0.254,6.991,2.329,0.126999879,0.452489636
Dennd4b,DENN/MADD domain containing 4B,6031,3,90265184,90280669,6.844,6.851,7.044,7.086,-0.218,6.961,2.329,0.12699946,0.452489636
Iqce,IQ motif containing E,12037,5,140661826,140702378,3.3,3.053,3.547,3.441,-0.314,3.351,2.327,0.127167652,0.452920757
Dcaf6,DDB1 and CUL4 associated factor 6,3297,1,165329510,165460465,4.174,4.038,3.697,3.92,0.295,3.971,2.325,0.127288149,0.453183249
Apbb1ip,"amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein",7414,2,22774093,22875653,7.406,7.365,7.134,7.195,0.221,7.28,2.325,0.127344108,0.453215856
Arap2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",8716,5,62602444,62766198,6.595,6.712,6.911,6.838,-0.22,6.77,2.32,0.127682304,0.453941644
Brwd3,bromodomain and WD repeat domain containing 3,12692,X,108737015,108834372,4.352,4.473,4.666,4.674,-0.256,4.55,2.32,0.127688666,0.453941644
Spcs2,signal peptidase complex subunit 2 homolog (S. cerevisiae),2815,7,99837568,99858883,7.998,8.046,7.763,7.831,0.225,7.915,2.321,0.127674762,0.453941644
Igkv5-48,immunoglobulin kappa variable 5-48,347,6,69726572,69727125,6.439,6.212,6.348,7.173,-0.489,6.596,2.318,0.12788234,0.45412582
Kctd1,potassium channel tetramerisation domain containing 1,3587,18,14968684,15151446,3.695,3.657,4.096,3.842,-0.299,3.836,2.318,0.127909854,0.45412582
Orai3,ORAI calcium release-activated calcium modulator 3,2141,7,127769814,127775150,6.763,6.659,6.954,6.907,-0.219,6.826,2.319,0.127841737,0.45412582
Pisd,phosphatidylserine decarboxylase,3814,5,32736300,32785646,5.049,5.013,4.679,4.875,0.251,4.913,2.317,0.12792805,0.45412582
Ube2w,ubiquitin-conjugating enzyme E2W (putative),4930,1,16540789,16619489,5.444,5.608,5.739,5.793,-0.238,5.653,2.316,0.128014941,0.45426775
