genes,name,ExonLength,chr,chr_start,chr_end,WT_FoB_1_log2(cpm),WT_FoB_2_log2(cpm),DKO_FoB_1_log2(cpm),DKO_FoB_2_log2(cpm),DKO_FoB_3_log2(cpm),DKO_ABC_1_log2(cpm),DKO_ABC_2_log2(cpm),DKO_ABC_3_log2(cpm),logFC_1*WT_FoB -1*DKO_FoB,logCPM_1*WT_FoB -1*DKO_FoB,LR_1*WT_FoB -1*DKO_FoB,PValue_1*WT_FoB -1*DKO_FoB,FDR_1*WT_FoB -1*DKO_FoB,logFC_1*WT_FoB -1*DKO_ABC,logCPM_1*WT_FoB -1*DKO_ABC,LR_1*WT_FoB -1*DKO_ABC,PValue_1*WT_FoB -1*DKO_ABC,FDR_1*WT_FoB -1*DKO_ABC,logFC_1*DKO_FoB -1*DKO_ABC,logCPM_1*DKO_FoB -1*DKO_ABC,LR_1*DKO_FoB -1*DKO_ABC,PValue_1*DKO_FoB -1*DKO_ABC,FDR_1*DKO_FoB -1*DKO_ABC,ENTREZID
Lamtor1,late endosomal/lysosomal adaptor, MAPK and MTOR activator 1,1184,7,101905836,101911901,7.2,7.263,5.881,6.663,6.264,6.11,6.697,6.275,0.927,6.623,10.265,0.001355628,0.009667523,0.85,6.623,8.611,0.003341673,0.011652936,-0.078,6.623,0.088,0.767328092,0.915137268
Pik3r1,phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha),10079,13,101680562,101768217,6.441,6.485,6.954,6.793,6.637,6.426,6.45,6.747,-0.337,6.63,2.301,0.129298097,0.248906911,-0.086,6.63,0.151,0.698053637,0.781020136,0.252,6.63,1.629,0.201772478
Tbc1d4,TBC1 domain family, member 4,7676,14,101442359,101609191,-1.582,-1.549,1.924,0.161,3.042,1.897,0.847,1.343,-3.887,1.488,15.846,6.87042486259052e-05,0.001083521,-3.165,1.488,11.044,0.000889649,0.00401889,0.722,1.488,1.052,0.305075227,0.656702398
Atp1a1,ATPase, Na+/K+ transporting, alpha 1 polypeptide,4487,3,101576218,101604603,7.926,8.135,7.94,8.467,8.13,8.254,8.652,8.349,-0.162,8.252,0.408,0.522779731,0.659033118,-0.395,8.252,2.394,0.121778052,0.206657997,-0.233,8.252,1.062,0.302709286
Brca1,breast cancer 1, early onset,8533,11,101488763,101551955,2.881,2.306,4.728,3.306,5.766,4.367,3.944,4.521,-2.306,4.346,12.175,0.000484297,0.004567034,-1.682,4.346,6.858,0.008825505,0.025569635,0.624,4.346,1.343,0.246547495,0.598138882
Pde2a,phosphodiesterase 2A, cGMP-stimulated,4220,7,101421690,101512829,6.615,6.578,6.484,6.846,5.632,3.366,3.136,3.702,0.192,5.907,0.293,0.588157798,0.713741775,3.182,5.907,75.148,4.36703747080934e-18,6.73106042167412e-16,2.989,5.907,74.34,6.57513894038366e-18,1.5835126281424e-15
Igsf3,immunoglobulin superfamily, member 3,7330,3,101377124,101463060,-3.223,-3.201,2.703,0.33,4.337,1.404,1.896,1.464,-7.186,2.252,26.535,2.58748844037406e-07,1.32939406092107e-05,-5.555,2.252,17.524,2.83701514651307e-05,0.000231283,1.631,2.252,3.754,0.052683597,0.249603906
Nono,non-POU-domain-containing, octamer binding protein,4375,X,101429317,101448591,8.435,8.513,8.514,8.655,9.019,8.426,8.798,8.879,-0.271,8.67,1.126,0.288635656,0.441022577,-0.24,8.67,0.881,0.348031573,0.468472867,0.032,8.67,0.019,0.889392582,0.961325689
Zmym3,zinc finger, MYM-type 3,8021,X,101404383,101420849,5.006,4.899,5.818,4.751,5.345,5.476,4.482,5.224,-0.415,5.182,1.115,0.291050113,0.443683103,-0.164,5.182,0.177,0.674195013,0.761546923,0.251,5.182,0.521,0.47055955,0.774881538
Arap1,ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1,7564,7,101348066,101412586,8.804,8.8,8.831,8.828,8.112,8.813,8.568,8.602,0.175,8.687,0.414,0.520075207,0.657416009,0.137,8.687,0.253,0.614788778,0.712762839,-0.038,8.687,0.024,0.876429183,0.957557718
Aoc2,amine oxidase, copper containing 2 (retina-specific),2543,11,101325062,101329702,2.946,2.482,3.149,1.38,1.909,2.355,0.699,1.699,0.397,2.274,0.364,0.546480179,0.678551114,1.013,2.274,2.379,0.122990979,0.208196767,0.617,2.274,1.06,0.303164414,0.654694681
Psme3,proteaseome (prosome, macropain) activator subunit 3 (PA28 gamma, Ki),2949,11,101316212,101323537,7.427,7.371,7.541,7.72,7.839,7.335,7.624,7.535,-0.306,7.559,2,0.157333674,0.286151239,-0.104,7.559,0.232,0.630308467,0.726239995,0.202,7.559,1.111,0.29181116
Becn1,beclin 1, autophagy related,7065,11,101285951,101302286,6.424,6.464,6.54,6.51,6.397,6.566,6.636,6.595,-0.04,6.519,0.041,0.840016317,0.896720715,-0.155,6.519,0.625,0.429178813,0.546835435,-0.116,6.519,0.438,0.507923754,0.799391878
Il2rg,interleukin 2 receptor, gamma chain,2387,X,101264377,101268255,6.273,6.489,6.295,6.978,6.62,6.053,6.801,6.92,-0.273,6.588,0.71,0.399539201,0.549454842,-0.255,6.588,0.615,0.432823894,0.550433906,0.019,6.588,0.004,0.947473583,0.982250393
Nr4a1,nuclear receptor subfamily 4, group A, member 1,2474,15,101266845,101274792,5.454,5.315,4.539,5.807,4.363,5.49,4.569,4.654,0.33,5.117,0.478,0.489445778,0.630557583,0.42,5.117,0.774,0.379008475,0.49821901,0.09,5.117,0.043,0.835010119
Acvr1b,activin A receptor, type 1B,4413,15,101174066,101213679,5.847,5.694,6.095,6.056,5.449,5.48,5.428,5.425,-0.123,5.711,0.229,0.632331853,0.749027178,0.328,5.711,1.655,0.198324317,0.302298141,0.451,5.711,3.856,0.049583037,0.23952357
Tubg2,tubulin, gamma 2,1754,11,101155906,101161787,2.572,2.005,1.5,0.783,1.653,1.01,0.078,0.467,0.97,1.484,3.743,0.053022946,0.131533316,1.792,1.484,12.238,0.000468216,0.002396004,0.822,1.484,3.006,0.08297024,0.332110794
Raver2,ribonucleoprotein, PTB-binding 2,6342,4,101068982,101152370,0.021,-2.582,0.399,-1.414,1.761,0.816,-0.416,0.869,-1.596,0.475,2.13,0.144452134,0.269203075,-1.353,0.475,1.551,0.213026015,0.319566667,0.243,0.475,0.072,0.7890249,0.923658516
Acvrl1,activin A receptor, type II-like 1,4265,15,101128521,101145336,0.244,0.938,2.949,2.08,1.318,4.842,5.181,4.728,-1.656,3.775,9.495,0.002059888,0.012913398,-4.339,3.775,53.099,3.17150767570674e-13,2.09566867093605e-11,-2.683,3.775,34.637,3.97289473718845e-09,1.9136109650791e-07
Tubg1,tubulin, gamma 1,2266,11,101119937,101126419,5.472,5.613,5.208,5.222,5.804,5.065,5.039,5.112,0.105,5.344,0.162,0.68755272,0.789900254,0.473,5.344,3.33,0.068026167,0.131612133,0.368,5.344,2.479,0.115361446,0.403869872
Fam134c,family with sequence similarity 134, member C,3589,11,101096321,101119893,8.36,8.312,7.629,8.315,7.55,7.504,8.05,7.842,0.462,7.985,2.419,0.119893879,0.236493329,0.52,7.985,3.072,0.079675496,0.148754535,0.058,7.985,0.047,0.828005161,0.938340645
Ppp2r3a,protein phosphatase 2, regulatory subunit B'', alpha,9819,9,101105083,101251795,0.899,1.064,1.337,1.301,0.6,-0.549,-0.913,0.512,-0.131,0.751,0.051,0.820949718,0.883053758,1.199,0.751,4.112,0.042584793,0.090459429,1.33,0.751,6.103,0.013495544
Smek1,SMEK homolog 1, suppressor of mek1 (Dictyostelium),4594,12,101039408,101083702,6.697,6.713,7.178,6.916,7.251,6.852,6.633,7.162,-0.417,6.944,2.99,0.083782418,0.181991026,-0.194,6.944,0.652,0.41928795,0.537775292,0.223,6.944,1.098,0.294804016,0.648636167
Pccb,propionyl Coenzyme A carboxylase, beta polypeptide,2771,9,100982031,101034898,5.422,5.086,4.681,4.982,4.222,4.943,5.298,4.752,0.604,4.967,3.779,0.051897676,0.12958624,0.248,4.967,0.634,0.426059105,0.544285916,-0.356,4.967,1.601,0.205705246,0.546839349
Atp6v0a1,ATPase, H+ transporting, lysosomal V0 subunit A1,6556,11,101009451,101063719,6.637,6.414,6.35,5.603,5.797,6.536,5.731,6.34,0.578,6.223,3.26,0.070977903,0.161453081,0.289,6.223,0.809,0.368536146,0.48879693,-0.289,6.223,0.997,0.318080954
Ttf2,transcription termination factor, RNA polymerase II,6564,3,100938859,100969663,4.186,4.395,5.351,4.481,5.734,5.419,4.842,5.256,-0.986,5.054,6.337,0.011823027,0.044683875,-0.9,5.054,5.309,0.021221396,0.051806075,0.086,5.054,0.065,0.799136261,0.926767173
Ppp4r2,protein phosphatase 4, regulatory subunit 2,3641,6,100833637,100868717,4.933,4.984,5.928,6.009,6.875,5.765,5.961,6.295,-1.381,5.968,15.49,8.29362520898139e-05,0.001248962,-1.066,5.968,9.47,0.002088807,0.007982925,0.314,5.968,1.108,0.292483175,0.646739544
Fam168a,family with sequence similarity 168, member A,6632,7,100706650,100841628,4.862,4.899,5.507,5.41,5.065,5.741,5.473,5.811,-0.458,5.387,3.449,0.06328192,0.149415645,-0.802,5.387,10.378,0.00127503,0.005345154,-0.344,5.387,2.519,0.112455386,0.397548702
Slc30a5,solute carrier family 30 (zinc transporter), member 5,3178,13,100802648,100833427,7.376,7.435,7.006,7.314,7.339,6.714,6.938,6.91,0.178,7.151,0.688,0.406801707,0.556261273,0.548,7.151,6.603,0.010181115,0.028740827,0.37,7.151,3.686,0.054876301,0.256212158
Slc4a8,solute carrier family 4 (anion exchanger), member 8,13021,15,100761746,100823968,3.436,3.098,4.678,3.496,4.584,4.964,4.406,4.797,-1.068,4.33,6.647,0.00993273,0.039411006,-1.467,4.33,12.175,0.000484313,0.002462033,-0.399,4.33,1.258,0.262022308,0.615145791
Fam175a,family with sequence similarity 175, member A,3011,5,100805191,100820965,4.014,3.823,3.921,3.087,4.36,3.676,3.143,3.473,0.041,3.749,0.01,0.920324318,0.950075827,0.478,3.749,1.37,0.241822173,0.352962667,0.437,3.749,1.405,0.235823304,0.584506172
Dlg3,discs, large homolog 3 (Drosophila),5844,X,100767721,100818410,3.531,3.146,3.643,3.441,3.964,4.303,4.095,4.207,-0.35,3.847,1.264,0.26084165,0.409970016,-0.855,3.847,7.397,0.006533314,0.020054465,-0.505,3.847,3.434,0.063879313,0.281634194
Helq,helicase, POLQ-like,5056,5,100762144,100798598,4.285,4.37,5.301,3.8,6.161,4.647,3.496,4.498,-1.053,4.811,2.841,0.091891833,0.19448363,0.033,4.811,0.003,0.956612883,0.970209241,1.086,4.811,3.95,0.046863132,0.231535527
Kcnh4,potassium voltage-gated channel, subfamily H (eag-related), member 4,3954,11,100740375,100759942,1.248,1.45,1.154,1.128,0.521,1.795,1.575,2.328,0.405,1.512,0.72,0.3962188,0.545987522,-0.593,1.512,1.553,0.212711678,0.319207713,-0.997,1.512,5.537,0.018618895
Rab5c,RAB5C, member RAS oncogene family,2194,11,100715008,100738215,8.18,8.181,7.432,8.121,7.49,7.517,7.901,7.379,0.465,7.814,2.658,0.103002409,0.21145314,0.564,7.814,3.931,0.047411955,0.098275452,0.1,7.814,0.15,0.698362464,0.892148826
Rps6ka5,ribosomal protein S6 kinase, polypeptide 5,4406,12,100549777,100725028,4.212,4.179,4.715,4.926,4.313,4.448,3.964,4.615,-0.478,4.456,2.264,0.132412991,0.253049128,-0.172,4.456,0.297,0.585616824,0.687421861,0.306,4.456,1.194,0.274504475,0.625949706
Cela1,chymotrypsin-like elastase family, member 1,1103,15,100674424,100687920,-2.61,0.893,0.988,-4.31,-2.923,2.373,1.269,1.532,0.527,0.894,0.119,0.730204912,0.820407113,-1.835,0.894,1.26,0.261670541,0.375765397,-2.363,0.894,2.697,0.100519565,0.37207532
Rab6a,RAB6A, member RAS oncogene family,3728,7,100607409,100641268,5.553,5.577,5.791,6.19,6.068,5.664,6.067,6.106,-0.462,5.899,3.576,0.058632817,0.141565849,-0.396,5.899,2.63,0.104870813,0.183849955,0.066,5.899,0.095,0.757501983,0.911399139
Cnp,2',3'-cyclic nucleotide 3' phosphodiesterase,3639,11,100574903,100591729,9.655,9.721,8.832,9.547,8.765,8.843,9.535,8.932,0.595,9.282,3.32,0.068446672,0.157875987,0.551,9.282,2.845,0.091653481,0.165730368,-0.044,9.282,0.022,0.881747757,0.959017533
Ucp2,uncoupling protein 2 (mitochondrial, proton carrier),6989,7,100493336,100502020,10.363,10.413,9.492,9.738,9.914,9.674,9.955,9.872,0.663,9.96,8.255,0.00406309,0.021005956,0.55,9.96,5.653,0.017429943,0.044314641,-0.114,9.96,0.297,0.585971862,0.839652037
Gtf2h2,general transcription factor II H, polypeptide 2,4372,13,100460217,100492579,4.474,4.354,4.454,4.189,4.858,4.294,4.236,4.386,-0.113,4.423,0.154,0.694687689,0.794557206,0.109,4.423,0.144,0.704392237,0.785485277,0.221,4.423,0.748,0.387126898,0.723673347
Fam46c,family with sequence similarity 46, member C,6097,3,100451627,100489324,2.067,1.596,4.47,3.911,5.672,7.543,7.772,6.988,-3.043,6.295,28.426,9.73723391961808e-08,5.62812120553925e-06,-5.637,6.295,75.083,4.51388247507276e-18,6.86585281734752e-16,-2.594,6.295,30.82,2.83042141136064e-08,1.14805864966067e-06
Naip1,NLR family, apoptosis inhibitory protein 1,5353,13,100407769,100446406,-2.181,-2.15,-2.546,-4.31,-2.535,1.01,0.445,0.467,1.053,-0.421,1.187,0.275879581,0.42681584,-3.1,-0.421,16.588,4.64481832275074e-05,0.000353483,-4.152,-0.421,34.563,4.12691600557492e-09,1.96325716149984e-07
Nt5c3b,5'-nucleotidase, cytosolic IIIB,3420,11,100422320,100441808,5.762,5.571,5.189,5.271,5.947,5.035,5.407,5.195,0.158,5.455,0.293,0.588570919,0.714093181,0.449,5.455,2.375,0.12328628,0.208543957,0.291,5.455,1.224,0.268520163,0.621418667
Slc11a2,solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2,6354,15,100387897,100425072,4.624,4.879,4.368,4.178,4.09,4.242,3.873,3.802,0.543,4.301,3.885,0.048720858,0.12348457,0.776,4.301,7.937,0.004843532,0.015705815,0.233,4.301,0.869,0.35123046,0.695846362
Naip6,NLR family, apoptosis inhibitory protein 6,6827,13,100281120,100317674,1.5,1.103,4,2.286,2.81,5.402,4.077,4.733,-1.916,3.893,9.568,0.00197991,0.012568788,-3.544,3.893,28.208,1.08939222858484e-07,1.98009027711333e-06,-1.628,3.893,9.899,0.001653297,0.018064378
Naip5,NLR family, apoptosis inhibitory protein 5,5204,13,100211738,100246323,3.153,3.107,4.981,3.079,3.056,6.127,4.654,5.183,-0.881,4.625,1.749,0.186008216,0.322473752,-2.328,4.625,10.771,0.001031103,0.004514979,-1.446,4.625,6.039,0.013996914,0.094899897
Naip2,NLR family, apoptosis inhibitory protein 2,4846,13,100144062,100202092,3.807,3.937,4.601,4.493,3.941,5.701,6,5.78,-0.498,5.038,3.059,0.080315013,0.176509801,-1.963,5.038,43.217,4.89869946270882e-11,2.21206897612945e-09,-1.465,5.038,33.863,5.91464223506553e-09,2.75698646118377e-07
Nrde2,nrde-2 necessary for RNA interference, domain containing,3723,12,100125451,100159653,5.66,5.557,5.222,4.823,4.715,5.001,4.696,4.672,0.675,5.094,6.894,0.008646242,0.03579891,0.814,5.094,10.036,0.001535262,0.006246967,0.139,5.094,0.356,0.550867935,0.821668694
Psmc1,protease (prosome, macropain) 26S subunit, ATPase 1,1518,12,100110185,100123364,7.338,7.47,6.742,6.895,7.336,6.661,6.935,6.907,0.391,7.064,2.538,0.111126928,0.223646812,0.566,7.064,5.333,0.0209252,0.051216453,0.175,7.064,0.622,0.430205556
Bdp1,B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB,11005,13,100017993,100104070,5.117,4.847,6.759,6.158,6.572,6.21,5.49,6.548,-1.531,6.107,18.149,2.0428219356031e-05,0.000425496,-1.159,6.107,10.73,0.001053965,0.004594208,0.371,6.107,1.493,0.221742333,0.568620535
Pold3,polymerase (DNA-directed), delta 3, accessory subunit,4134,7,100082110,100121565,6.007,6.258,5.992,5.719,6.148,5.598,5.727,5.911,0.174,5.937,0.548,0.459308301,0.603775751,0.386,5.937,2.725,0.098770555,0.175389802,0.213,5.937,1.017,0.313179277
Larp4,La ribonucleoprotein domain family, member 4,6731,15,99970073,100016351,5.784,5.659,6.941,6.953,7.286,6.333,6.492,6.89,-1.347,6.641,26.405,2.7679553045531e-07,1.41582138586876e-05,-0.869,6.641,11.388,0.000739123,0.003471868,0.478,6.641,4.564,0.032641466,0.179683497
Kcnk13,potassium channel, subfamily K, member 13,3112,12,99964498,100062682,1.987,0.981,2.635,2.442,2.029,2.144,1.637,1.679,-0.826,2.034,2.942,0.086300072,0.185812784,-0.267,2.034,0.311,0.576934171,0.67960796,0.559,2.034,1.787,0.181246072
Alg6,asparagine-linked glycosylation 6 (alpha-1,3,-glucosyltransferase),8544,4,99715663,99763460,2.284,2.421,3.271,2.81,3.553,3.401,3.502,3.6,-0.896,3.192,6.074,0.013718883,0.049668113,-1.157,3.192,10.012,0.001554917,0.006293712,-0.261,3.192,0.711,0.399054315
Slco2b1,solute carrier organic anion transporter family, member 2b1,5612,7,99657803,99711340,-2.61,-3.201,2.743,-2.399,-4.31,3.937,2.356,3.107,-4.614,2.186,5.107,0.023834422,0.073552034,-6.707,2.186,8.887,0.002871642,0.010296583,-2.092,2.186,1.971,0.160350839,0.480735855
Arrb1,arrestin, beta 1,11175,7,99535465,99606771,5.98,6.03,6.036,6.017,5.01,5.983,5.604,5.73,0.246,5.834,0.557,0.455351251,0.600075292,0.224,5.834,0.464,0.495760836,0.608192217,-0.021,5.834,0.005,0.942281703,0.981428015
Pja1,praja ring finger 1, E3 ubiquitin protein ligase,3324,X,99465733,99471273,5.869,5.995,5.505,6.187,5.917,5.5,5.696,5.587,0.036,5.803,0.02,0.886961405,0.928066061,0.336,5.803,1.775,0.182784605,0.284017534,0.3,5.803,1.746,0.186384004,0.521947454
Atg4c,autophagy related 4C, cysteine peptidase,3351,4,99193933,99259787,2.753,2.57,3.206,3.313,2.482,3.017,3.445,3.262,-0.38,3.054,0.957,0.328056391,0.481260391,-0.592,3.054,2.309,0.128619316,0.21526557,-0.212,3.054,0.39,0.532478595,0.811957863
Rasgef1b,RasGEF domain family, member 1B,3261,5,99217425,99252927,7.228,7.321,6.709,7.573,6.556,4.614,5.447,5.756,0.256,6.682,0.408,0.523142165,0.659130618,1.928,6.682,23.14,1.50647552441332e-06,1.87458095395242e-05,1.672,6.682,20.294,6.64198581539348e-06,0.000152647
Dis3,DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease,3722,14,99076633,99099770,4.474,4.418,5.422,4.911,5.963,4.919,4.877,5.322,-1.051,5.125,8.986,0.002720396,0.015810848,-0.608,5.125,3.099,0.078361002,0.146982505,0.442,5.125,2.136,0.143877134,0.455120761
Bora,bora, aurora kinase A activator,2673,14,99046426,99074537,3.242,3.174,4.14,2.405,4.668,4.147,2.645,3.811,-0.805,3.717,1.491,0.22209924,0.365475761,-0.455,3.717,0.487,0.485208823,0.598486341,0.349,3.717,0.369,0.543361219,0.817137762
Tuba1c,tubulin, alpha 1C,1977,15,99029890,99038105,5.591,5.649,5.236,5.555,6.34,5.438,5.941,5.735,-0.169,5.724,0.237,0.626726934,0.74513662,-0.1,5.724,0.084,0.772554224,0.837857851,0.069,5.724,0.049,0.824172352,0.93748131
Pik3cb,phosphatidylinositol 3-kinase, catalytic, beta polypeptide,7193,9,99036653,99140621,0.809,0.893,2.578,1.595,2.953,3.443,2.798,2.657,-1.653,2.489,9.031,0.002654072,0.015550468,-2.182,2.489,15.19,9.72254107317549e-05,0.000656882,-0.529,2.489,1.378,0.240456516
Rara,retinoic acid receptor, alpha,4365,11,98927817,98974942,6.754,6.71,5.785,6.18,5.224,5.079,5.019,4.824,0.951,5.884,10.706,0.00106813,0.00811807,1.755,5.884,36.081,1.89295114764583e-09,5.66904540590306e-08,0.804,5.884,9.107,0.002546541,0.025665226
Tuba1a,tubulin, alpha 1A,1647,15,98949840,98953551,6.761,6.899,5.543,7.071,6.775,5.721,6.85,6.223,0.234,6.573,0.256,0.613172726,0.734109622,0.493,6.573,1.146,0.284322324,0.400483254,0.259,6.573,0.389,0.532933304,0.812008566
Yipf6,Yip1 domain family, member 6,7149,X,98936315,98949017,4.009,4.225,5.172,4.915,4.625,5.007,5.167,5,-0.8,4.822,8.705,0.003173666,0.017800864,-0.941,4.822,11.949,0.000546806,0.002704785,-0.141,4.822,0.361,0.547786013,0.820254151
Tuba1b,tubulin, alpha 1B,1875,15,98931424,98934565,8.028,8.086,7.942,8.535,9.15,7.816,8.449,8.222,-0.569,8.34,2.408,0.120726483,0.237632366,-0.128,8.34,0.126,0.722708973,0.799934482,0.44,8.34,1.856,0.173055185,0.500319717
Atp2b1,ATPase, Ca++ transporting, plasma membrane 1,7130,10,98915151,99026143,5.633,5.666,6.814,6.42,6.213,6.42,6.254,6.479,-0.855,6.286,11.67,0.00063502,0.005586632,-0.738,6.286,8.771,0.003060643,0.010819888,0.117,6.286,0.288,0.591806725
Wipf2,WAS/WASL interacting protein family, member 2,7819,11,98863637,98905040,5.689,5.49,5.91,6.004,5.759,5.666,5.707,6.039,-0.302,5.795,1.708,0.19125294,0.328853784,-0.222,5.795,0.923,0.336667757,0.456632556,0.08,5.795,0.154,0.694447279,0.890988962
Prkag1,protein kinase, AMP-activated, gamma 1 non-catalytic subunit,1638,15,98812797,98831508,5.928,6,5.332,5.552,5.485,5.43,5.6,5.519,0.505,5.625,5.981,0.014457277,0.051455087,0.446,5.625,4.663,0.030818702,0.070144555,-0.059,5.625,0.099,0.752654018
Wnt10b,wingless-type MMTV integration site family, member 10B,2334,15,98771752,98778150,-0.835,-1.125,-0.367,-0.719,0.3,0,-1.172,-1.152,-0.838,-0.432,1.458,0.227303656,0.371711736,-0.298,-0.432,0.177,0.674215079,0.761546923,0.541,-0.432,0.832,0.361811197,0.703302074
Nr1d1,nuclear receptor subfamily 1, group D, member 1,3077,11,98767931,98775333,1.065,0.847,0.261,0.219,-0.511,0.089,-0.416,0.268,0.973,0.362,3.563,0.059094412,0.142234744,0.987,0.362,3.656,0.055882013,0.112495272,0.014,0.362,0.001,0.977351391
Ptpn21,protein tyrosine phosphatase, non-receptor type 21,5738,12,98676740,98737405,2.967,2.768,3.307,3.133,2.907,3.312,3.136,3.166,-0.253,3.106,0.605,0.436604842,0.583144278,-0.336,3.106,1.066,0.301754997,0.419265357,-0.083,3.106,0.085,0.771212274,0.915556731
Prkrir,protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor),4125,7,98703102,98718062,6.37,6.315,6.225,6.626,6.621,5.994,6.274,6.267,-0.16,6.351,0.484,0.486650875,0.628006711,0.158,6.351,0.478,0.489331985,0.602543432,0.319,6.351,2.406,0.120850163
Copb2,coatomer protein complex, subunit beta 2 (beta prime),6351,9,98563720,98588382,7.398,7.442,7.175,7.629,7.634,7.294,7.837,7.671,-0.074,7.525,0.084,0.771722983,0.849225863,-0.198,7.525,0.592,0.441537764,0.55850493,-0.123,7.525,0.291,0.589272817,0.841674756
Ankra2,ankyrin repeat, family A (RFXANK-like),2,3510,13,98263157,98274750,4.323,4.476,4.508,3.819,3.883,4.576,4.285,4.211,0.3,4.286,0.921,0.337321708,0.490495465,0.036,4.286,0.014,0.907469399,0.936000055,-0.263,4.286,0.879,0.348557477
Utp15,UTP15, U3 small nucleolar ribonucleoprotein, homolog (yeast),4071,13,98246844,98262992,5.803,5.789,5.811,5.816,6.007,5.409,5.652,5.642,-0.085,5.752,0.16,0.688755739,0.790509962,0.224,5.752,1.124,0.289141059,0.405147957,0.309,5.752,2.656,0.103155986
Pfkm,phosphofructokinase, muscle,2957,15,98092588,98132447,2.267,1.962,2.391,1.245,1.925,2.947,2.214,2.078,0.202,2.209,0.165,0.684415017,0.78811013,-0.341,2.209,0.464,0.49567066,0.608146129,-0.544,2.209,1.491,0.222056361,0.568768325
Cacnb1,calcium channel, voltage-dependent, beta 1 subunit,4529,11,98001507,98023034,2.443,2.237,1.969,1,0.521,2.539,0.775,1.618,1.073,1.82,2.806,0.093896426,0.197748714,0.536,1.82,0.702,0.402027377,0.520604512,-0.537,1.82,0.842,0.358846441
Sec22b,SEC22 homolog B, vesicle trafficking protein,3709,3,97901189,97923276,5.766,5.93,5.351,5.917,5.721,5.731,6.206,5.822,0.168,5.824,0.412,0.521179187,0.658091907,-0.085,5.824,0.104,0.747181808,0.818184205,-0.253,5.824,1.159,0.281767422,0.634690451
Slc48a1,solute carrier family 48 (heme transporter), member 1,2690,15,97784354,97792692,5.771,5.741,5.387,5.468,5.374,6.241,6.317,6.204,0.346,5.862,3.061,0.080210214,0.176380079,-0.499,5.862,6.18,0.012917794,0.034825022,-0.845,5.862,22.439,2.16930372983997e-06,5.59757837431921e-05
Endou,endonuclease, polyU-specific,2718,15,97711018,97731405,3.859,3.673,3.504,2.405,4.896,3.632,3.392,3.535,-0.184,3.764,0.09,0.764271679,0.844161744,0.247,3.764,0.165,0.684855416,0.77042902,0.432,3.764,0.62,0.430983117,0.753506029
Pip4k2b,phosphatidylinositol-5-phosphate 4-kinase, type II, beta,5204,11,97715156,97744704,6.948,6.86,7.134,7.311,6.997,6.982,7.088,7.271,-0.248,7.082,1.317,0.25112815,0.399482787,-0.214,7.082,0.979,0.322533989,0.441241765,0.034,7.082,0.032,0.857721897
Psmb3,proteasome (prosome, macropain) subunit, beta type 3,2300,11,97703398,97713500,7.361,7.474,6.098,6.976,6.639,6.055,6.87,6.212,0.804,6.805,5.811,0.015930378,0.055218941,0.995,6.805,8.919,0.002822489,0.010154986,0.191,6.805,0.4,0.526933536
